ACCESSION_NUMBER	SECURITY_ID	SECURITIESISSUERNAME	SECURITIESISSUERTITLE	SECURITIESISSUEDTOTALAMOUNT	SECURITIESPRINCIPALHOLDERAMT	SECURITIESISSUEDAGGREGATEAMT	AGGREGATECONSIDERATIONBASIS
0001264931-22-000090	1	Water Technologies International, Inc.	COMMON STOCK	266709702	82500000	$491,686; pursuant to contract terms, determination of the board of directors	$82,000; pursuant to contract terms, conversion of preferred stock; determination of board of directors
0001683168-22-002080	1	Smart Decision, Inc.	Convertible Promissory Notes	661000	0	411000	
0001493152-22-007962	1	Masterworks 118, LLC	Membership Interests	1000	0	100% of the membership interests in Masterworks 118, LLC were issued to Masterworks Gallery, LLC in return for a capital contribution of $100	
0001213900-22-015617	3	Crush Capital Inc. (formerly known as Trojan Horse Media Group LLC)	Series A-1 Preferred Stock and Warrants	7303000	0	$3,000,072, representing a per share purchase price of $0.4108 for 7,303,000 shares. Warrants were also issued that are exercisable to purchase 3,651,493 shares of Non-Voting Common Stock at a per share exercise price of $0.4108. No additional consideration was received in connection with the issuance of Warrants.	0
0001213900-22-015617	1	Crush Capital Inc. (formerly known as Trojan Horse Media Group LLC)	Series A-1 Preferred Stock and Warrants	7303000	0	$3,000,072, representing a per share purchase price of $0.4108 for 7,303,000 shares. Warrants were also issued that are exercisable to purchase 3,651,493 shares of Non-Voting Common Stock at a per share exercise price of $0.4108. No additional consideration was received in connection with the issuance of Warrants.	0
0001213900-22-015617	2	Crush Capital Inc. (formerly known as Trojan Horse Media Group LLC)	Series A-1 Preferred Stock and Warrants	7303000	0	$3,000,072, representing a per share purchase price of $0.4108 for 7,303,000 shares. Warrants were also issued that are exercisable to purchase 3,651,493 shares of Non-Voting Common Stock at a per share exercise price of $0.4108. No additional consideration was received in connection with the issuance of Warrants.	0
0001104659-22-038862	1	TriplePulse, Inc.	Common Stock	2370019	0	$598,627.08 for 1,662,853 shares @ $0.36 per share and $297,273.60 for 762,240 shares @ $0.39 per share.	
0001096906-22-000661	3	Tidepool Ventures 2/10/2021	Common Stock	110000000	0	$34,650	
0001096906-22-000661	4	Tidepool Ventures 2/10/2021	Common Stock	110000000	0	$34,650	
0001096906-22-000661	2	Tidepool Ventures 2/10/2021	Common Stock	110000000	0	$34,650	
0001096906-22-000661	5	Tidepool Ventures 2/10/2021	Common Stock	110000000	0	$34,650	
0001096906-22-000661	1	Tidepool Ventures 2/10/2021	Common Stock	110000000	0	$34,650	
0001104659-22-038843	3	Smart Rx Systems, Inc.	Class A Super Voting Convertible Common Stock	20700	0	During 2021, we issued a total of 20,700 Class A common shares to our Directors Roman Rohatgi and David Van Valkenburg, which are intended for key employees or contractors, and directors, under the Key Plan, for the consideration of an aggregate of $2.07 in cash. Such stock has a par value $0.0001 per share, pursuant to awards granted to directors or new officers, and key contractors and key employees under the Key Plan. The purchase price of $0.0001 per share was determined by our board of directors at the time of the origination of the Key Plan. Such shares of stock have ten to one super-voting rights and ten to one conversion rights.	
